provider,ip_claim_sum,ip_claim_mean,ip_claim_max,ip_deductible_sum,ip_deductible_mean,ip_unique_patients,ip_deceased_patients,op_claim_sum,op_claim_mean,op_claim_max,op_deductible_sum,op_deductible_mean,op_unique_patients,op_deceased_patients,potentialfraud,total_claim_sum,total_claim_mean,total_deductible_sum,total_deductible_mean,total_unique_patients,total_deceased_patients,deceased_patient_ratio,claim_per_patient,ip_op_claim_ratio,ip_max_mean_ratio,chronic_cond_ratio,avg_claim_per_deceased
PRV51025,86000.0,6615.384615384615,17000.0,13884.0,1068.0,12.0,0.0,32350.0,437.1621621621622,3300.0,400.0,5.405405405405405,66.0,0.0,No,118350.0,1517.30767285503,14284.0,183.12820278040766,78.0,0.0,0.0,1517.30767285503,2.6584234929626454,2.569767441472012,0.0,0.0
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840.0,261.05263157894734,3300.0,340.0,4.473684210526316,56.0,1.0,No,19840.0,354.2857079591838,340.0,6.071428463010206,56.0,1.0,0.017857142538265314,354.2857079591838,0.0,0.0,0.0,19840.0
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29840.0,563.0188679245283,3300.0,0.0,0.0,44.0,1.0,No,29840.0,678.1818027685954,0.0,0.0,44.0,1.0,0.022727272210743815,678.1818027685954,0.0,0.0,0.0,29840.0
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30660.0,329.6774193548387,3300.0,160.0,1.7204301075268817,79.0,1.0,No,30660.0,388.1012609101106,160.0,2.0253164300592856,79.0,1.0,0.012658227687870536,388.1012609101106,0.0,0.0,0.0,30660.0
PRV51030,705600.0,8604.878048780487,57000.0,86508.0,1054.9756097560976,71.0,1.0,34160.0,383.82022471910113,3300.0,240.0,2.696629213483146,78.0,1.0,No,739760.0,4964.83218144408,86748.0,582.2013383744877,149.0,2.0,0.013422818701860278,4964.83218144408,20.655737704313356,6.624149659094132,0.0,369880.0
PRV51031,329000.0,11750.0,68000.0,29904.0,1068.0,26.0,0.0,30720.0,195.6687898089172,2300.0,340.0,2.1656050955414012,135.0,1.0,No,359720.0,2234.2857004081634,30244.0,187.85093051024268,161.0,1.0,0.006211180085644845,2234.2857004081634,10.709635416318045,5.7872340420606605,0.0,359720.0
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5420.0,235.65217391304347,2900.0,50.0,2.1739130434782608,21.0,1.0,No,5420.0,258.09522580498924,50.0,2.3809522675737016,21.0,1.0,0.04761904535147403,258.09522580498924,0.0,0.0,0.0,5420.0
PRV51035,29000.0,29000.0,29000.0,1068.0,1068.0,1.0,0.0,3560.0,122.75862068965517,700.0,360.0,12.413793103448276,24.0,0.0,No,32560.0,1302.399947904002,1428.0,57.119997715200086,25.0,0.0,0.0,1302.399947904002,8.146067413442116,0.9999999999655173,0.0,0.0
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74880.0,269.3525179856115,4400.0,1410.0,5.071942446043166,131.0,0.0,No,74880.0,571.6030490717325,1410.0,10.76335869646291,131.0,0.0,0.0,571.6030490717325,0.0,0.0,0.0,0.0
PRV51037,214000.0,9304.347826086956,23000.0,24564.0,1068.0,21.0,0.0,128230.0,297.51740139211137,3300.0,960.0,2.2273781902552203,202.0,10.0,Yes,342230.0,1534.663670248145,25524.0,114.45739858987714,223.0,10.0,0.044843049126264356,1534.663670248145,1.6688762379968114,2.471962616556752,0.0,34223.0
PRV51038,229600.0,7653.333333333333,17000.0,30972.0,1032.4,26.0,1.0,35890.0,323.3333333333333,3300.0,220.0,1.981981981981982,83.0,0.0,No,265490.0,2435.6880510487335,31192.0,286.1651349893107,109.0,1.0,0.009174311842437506,2435.6880510487335,6.39732516003351,2.2212543551104633,0.0,265490.0
PRV51040,63000.0,7000.0,21000.0,8544.0,949.3333333333334,8.0,0.0,11470.0,148.96103896103895,1600.0,240.0,3.116883116883117,62.0,1.0,No,74470.0,1063.857127659184,8784.0,125.48571249306126,70.0,1.0,0.014285714081632657,1063.857127659184,5.49258936307824,2.9999999995714286,0.0,74470.0
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7410.0,217.94117647058823,3200.0,270.0,7.9411764705882355,31.0,0.0,No,7410.0,239.03225035379836,270.0,8.709677138397511,31.0,0.0,0.0,239.03225035379836,0.0,0.0,0.0,0.0
PRV51042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48050.0,338.38028169014086,3300.0,310.0,2.183098591549296,128.0,0.0,No,48050.0,375.3906220672608,310.0,2.421874981079102,128.0,0.0,0.0,375.3906220672608,0.0,0.0,0.0,0.0
PRV51043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4480.0,194.7826086956522,1100.0,0.0,0.0,20.0,0.0,No,4480.0,223.99998880000055,0.0,0.0,20.0,0.0,0.0,223.99998880000055,0.0,0.0,0.0,0.0
PRV51044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21330.0,361.52542372881356,3300.0,130.0,2.2033898305084745,39.0,0.0,No,21330.0,546.9230628994087,130.0,3.3333332478632505,39.0,0.0,0.0,546.9230628994087,0.0,0.0,0.0,0.0
PRV51045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8390.0,270.64516129032256,3300.0,40.0,1.2903225806451613,29.0,0.0,No,8390.0,289.31033485136777,40.0,1.379310297265162,29.0,0.0,0.0,289.31033485136777,0.0,0.0,0.0,0.0
PRV51046,101000.0,12625.0,38000.0,8544.0,1068.0,7.0,0.0,8370.0,279.0,2000.0,100.0,3.3333333333333335,19.0,0.0,No,109370.0,4206.538299748527,8644.0,332.4615256745567,26.0,0.0,0.0,4206.538299748527,12.066905613851027,3.009900989860602,0.0,0.0
PRV51047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,230.0,1300.0,0.0,0.0,11.0,0.0,No,2530.0,229.999979090911,0.0,0.0,11.0,0.0,0.0,229.999979090911,0.0,0.0,0.0,0.0
PRV51048,19000.0,4750.0,7000.0,4272.0,1068.0,4.0,0.0,8700.0,255.88235294117646,3300.0,80.0,2.3529411764705883,30.0,0.0,No,27700.0,814.7058583910042,4352.0,127.99999623529423,34.0,0.0,0.0,814.7058583910042,2.1839080457259876,1.4736842102160663,0.0,0.0
PRV51049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21720.0,305.9154929577465,3300.0,190.0,2.676056338028169,65.0,0.0,No,21720.0,334.1538410130178,190.0,2.9230768781065097,65.0,0.0,0.0,334.1538410130178,0.0,0.0,0.0,0.0
PRV51052,14000.0,7000.0,9000.0,2136.0,1068.0,2.0,0.0,16800.0,381.8181818181818,3300.0,210.0,4.7727272727272725,36.0,0.0,Yes,30800.0,810.5262944598344,2346.0,61.736840480609466,38.0,0.0,0.0,810.5262944598344,0.8333333332837302,1.2857142855306123,0.0,0.0
PRV51053,8000.0,8000.0,8000.0,1068.0,1068.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,8000.0,7999.992000008001,1068.0,1067.9989320010682,1.0,0.0,0.0,7999.992000008001,8000000000.0,0.999999999875,0.0,0.0
PRV51054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15130.0,265.43859649122805,1900.0,140.0,2.456140350877193,40.0,0.0,No,15130.0,378.24999054375024,140.0,3.4999999125000025,40.0,0.0,0.0,378.24999054375024,0.0,0.0,0.0,0.0
PRV51055,16700.0,8350.0,16000.0,2136.0,1068.0,2.0,0.0,4940.0,247.0,2300.0,70.0,3.5,20.0,0.0,No,21640.0,983.6363189256218,2206.0,100.27272271487624,22.0,0.0,0.0,983.6363189256218,3.3805668009351075,1.9161676644411774,0.0,0.0
PRV51056,8000.0,4000.0,5000.0,2136.0,1068.0,2.0,0.0,6700.0,335.0,2500.0,10.0,0.5,19.0,0.0,No,14700.0,699.9999666666682,2146.0,102.19047132426327,21.0,0.0,0.0,699.9999666666682,1.194029850568055,1.2499999996875,0.0,0.0
PRV51057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6830.0,1366.0,3300.0,0.0,0.0,4.0,0.0,No,6830.0,1707.4995731251067,0.0,0.0,4.0,0.0,0.0,1707.4995731251067,0.0,0.0,0.0,0.0
PRV51058,91000.0,18200.0,57000.0,5340.0,1068.0,5.0,0.0,16030.0,205.51282051282053,2500.0,200.0,2.5641025641025643,71.0,0.0,No,107030.0,1408.2894551540862,5540.0,72.894735882964,76.0,0.0,0.0,1408.2894551540862,5.676855894842367,3.1318681316960513,0.0,0.0
PRV51059,401000.0,16040.0,57000.0,26700.0,1068.0,23.0,0.0,20060.0,282.53521126760563,3300.0,240.0,3.380281690140845,60.0,0.0,Yes,421060.0,5073.011987072145,26940.0,324.57830934243003,83.0,0.0,0.0,5073.011987072145,19.990029909272682,3.5536159598782033,0.0,0.0
PRV51060,35000.0,7000.0,14000.0,5340.0,1068.0,5.0,0.0,8710.0,235.40540540540542,1020.0,0.0,0.0,37.0,0.0,No,43710.0,1040.7142609353748,5340.0,127.14285411564634,42.0,0.0,0.0,1040.7142609353748,4.01836968955013,1.9999999997142857,0.0,0.0
PRV51061,3000.0,3000.0,3000.0,1068.0,1068.0,1.0,0.0,51940.0,360.69444444444446,6700.0,260.0,1.8055555555555556,66.0,0.0,No,54940.0,819.9999877611942,1328.0,19.8208952265538,67.0,0.0,0.0,819.9999877611942,0.057758952636546804,0.9999999996666668,0.0,0.0
PRV51062,45000.0,15000.0,25000.0,3204.0,1068.0,3.0,0.0,108380.0,275.0761421319797,3300.0,740.0,1.8781725888324874,164.0,0.0,No,153380.0,918.4431082727958,3944.0,23.616766325648108,167.0,0.0,0.0,918.4431082727958,0.41520575751600663,1.6666666665555556,0.0,0.0
PRV51063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51110.0,343.02013422818794,3300.0,160.0,1.0738255033557047,115.0,1.0,No,51110.0,444.4347787440454,160.0,1.3913043357277883,115.0,1.0,0.008695652098298678,444.4347787440454,0.0,0.0,0.0,51110.0
PRV51064,280000.0,7777.777777777777,37000.0,38448.0,1068.0,34.0,0.0,80320.0,300.8239700374532,3300.0,500.0,1.8726591760299625,198.0,1.0,Yes,360320.0,1553.1034415814506,38948.0,167.87930962120987,232.0,1.0,0.0043103448090071345,1553.1034415814506,3.4860557768490286,4.757142856531225,0.0,360320.0
PRV51065,75000.0,7500.0,11000.0,9612.0,961.2,10.0,0.0,1570.0,87.22222222222223,300.0,110.0,6.111111111111111,16.0,0.0,No,76570.0,2944.9998867307736,9722.0,373.9230625414207,26.0,0.0,0.0,2944.9998867307736,47.770700606515476,1.466666666471111,0.0,0.0
PRV51066,19000.0,9500.0,15000.0,2136.0,1068.0,2.0,0.0,5790.0,263.1818181818182,2200.0,100.0,4.545454545454546,19.0,1.0,No,24790.0,1180.476134263041,2236.0,106.47618540589593,21.0,1.0,0.04761904535147403,1180.476134263041,3.281519861263986,1.5789473682548476,0.0,24790.0
PRV51067,326000.0,27166.666666666668,83000.0,12816.0,1068.0,11.0,0.0,8520.0,185.2173913043478,2100.0,280.0,6.086956521739131,39.0,0.0,Yes,334520.0,6690.399866192003,13096.0,261.9199947616001,50.0,0.0,0.0,6690.399866192003,38.262910793631114,3.0552147238139185,0.0,0.0
PRV51068,77000.0,8555.555555555555,19000.0,8544.0,949.3333333333334,9.0,0.0,66260.0,262.93650793650795,3300.0,440.0,1.746031746031746,206.0,3.0,No,143260.0,666.3255782961601,8984.0,41.786046317274206,215.0,3.0,0.013953488307193078,666.3255782961601,1.1620887413045264,2.2207792205196495,0.0,47753.333333333336
PRV51070,101000.0,10100.0,22000.0,10680.0,1068.0,10.0,0.0,24410.0,274.2696629213483,3300.0,300.0,3.3707865168539324,61.0,0.0,No,125410.0,1766.338003291014,10980.0,154.64788514580445,71.0,0.0,0.0,1766.338003291014,4.137648504541677,2.178217821566513,0.0,0.0
PRV51071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8550.0,356.25,3200.0,50.0,2.0833333333333335,24.0,0.0,No,8550.0,356.2499851562506,50.0,2.0833332465277814,24.0,0.0,0.0,356.2499851562506,0.0,0.0,0.0,0.0
PRV51072,72000.0,6000.0,14000.0,11748.0,979.0,12.0,0.0,47170.0,235.85,3200.0,430.0,2.15,150.0,4.0,No,119170.0,735.6172794097699,12178.0,75.17283904214297,162.0,4.0,0.02469135787227557,735.6172794097699,1.526393894392063,2.333333332944444,0.0,29792.5
PRV51074,31000.0,6200.0,15000.0,5340.0,1068.0,5.0,0.0,10170.0,299.11764705882354,2500.0,80.0,2.3529411764705883,34.0,0.0,No,41170.0,1055.6409985733078,5420.0,138.97435541091397,39.0,0.0,0.0,1055.6409985733078,3.0481809239873963,2.419354838319459,0.0,0.0
PRV51075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8550.0,502.94117647058823,3000.0,70.0,4.117647058823529,13.0,0.0,No,8550.0,657.6922571005956,70.0,5.384614970414233,13.0,0.0,0.0,657.6922571005956,0.0,0.0,0.0,0.0
PRV51076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10230.0,352.7586206896552,3300.0,50.0,1.7241379310344827,27.0,1.0,No,10230.0,378.8888748559676,50.0,1.8518517832647488,27.0,1.0,0.037037035665294975,378.8888748559676,0.0,0.0,0.0,10230.0
PRV51077,199000.0,12437.5,56000.0,16020.0,1001.25,13.0,0.0,5350.0,314.70588235294116,2600.0,200.0,11.764705882352942,17.0,0.0,Yes,204350.0,6811.666439611118,16220.0,540.666648644445,30.0,0.0,0.0,6811.666439611118,37.196261675290415,4.502512562452059,0.0,0.0
PRV51078,76000.0,8444.444444444445,16000.0,8544.0,949.3333333333334,9.0,0.0,2270.0,162.14285714285714,800.0,100.0,7.142857142857143,14.0,0.0,No,78270.0,3403.043330302464,8644.0,375.82607061625777,23.0,0.0,0.0,3403.043330302464,33.48017619670477,1.894736841880886,0.0,0.0
PRV51081,79000.0,13166.666666666666,48000.0,6408.0,1068.0,6.0,0.0,45080.0,232.37113402061857,3300.0,760.0,3.917525773195876,125.0,1.0,No,124080.0,947.1755652887362,7168.0,54.71755683421713,131.0,1.0,0.00763358772798788,947.1755652887362,1.7524401064384996,3.645569619976286,0.0,124080.0
PRV51082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5470.0,160.88235294117646,1000.0,70.0,2.0588235294117645,31.0,0.0,No,5470.0,176.45160721123847,70.0,2.2580644432882435,31.0,0.0,0.0,176.45160721123847,0.0,0.0,0.0,0.0
PRV51083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18100.0,201.11111111111111,3300.0,140.0,1.5555555555555556,81.0,0.0,No,18100.0,223.456787364731,140.0,1.7283950403901847,81.0,0.0,0.0,223.456787364731,0.0,0.0,0.0,0.0
PRV51084,191000.0,9550.0,45000.0,21360.0,1068.0,19.0,0.0,24580.0,273.1111111111111,3300.0,530.0,5.888888888888889,67.0,0.0,Yes,215580.0,2506.744156898324,21890.0,254.53488076122233,86.0,0.0,0.0,2506.744156898324,7.7705451583494485,4.712041884323346,0.0,0.0
PRV51086,413000.0,13322.58064516129,57000.0,33108.0,1068.0,30.0,0.0,33170.0,307.1296296296296,3300.0,60.0,0.5555555555555556,86.0,2.0,No,446170.0,3846.293070290577,33168.0,285.93103201783595,116.0,2.0,0.01724137916171225,3846.293070290577,12.4510099483735,4.278450362874983,0.0,223085.0
PRV51089,177000.0,9833.333333333334,41000.0,18156.0,1008.6666666666666,18.0,0.0,53900.0,256.6666666666667,3300.0,540.0,2.5714285714285716,179.0,2.0,No,230900.0,1172.081212324461,18696.0,94.90355281774846,197.0,2.0,0.010152284212424954,1172.081212324461,3.2838589980837876,4.169491524999712,0.0,115450.0
PRV51090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5830.0,832.8571428571429,3300.0,60.0,8.571428571428571,7.0,0.0,No,5830.0,832.857023877568,60.0,8.57142734693895,7.0,0.0,0.0,832.857023877568,0.0,0.0,0.0,0.0
PRV51091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9270.0,210.6818181818182,2100.0,80.0,1.8181818181818181,44.0,1.0,No,9270.0,210.68181339359515,80.0,1.8181817768595052,44.0,1.0,0.022727272210743815,210.68181339359515,0.0,0.0,0.0,9270.0
PRV51093,11000.0,5500.0,11000.0,2136.0,1068.0,2.0,0.0,2710.0,387.14285714285717,2100.0,0.0,0.0,7.0,0.0,No,13710.0,1523.333164074093,2136.0,237.3333069629659,9.0,0.0,0.0,1523.333164074093,4.059040588908103,1.9999999996363635,0.0,0.0
PRV51096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,640.0,2100.0,100.0,20.0,5.0,0.0,No,3200.0,639.9998720000256,100.0,19.9999960000008,5.0,0.0,0.0,639.9998720000256,0.0,0.0,0.0,0.0
PRV51097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44420.0,355.36,3500.0,230.0,1.84,71.0,0.0,No,44420.0,625.6337940051578,230.0,3.239436574092443,71.0,0.0,0.0,625.6337940051578,0.0,0.0,0.0,0.0
PRV51098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,75.0,200.0,0.0,0.0,4.0,0.0,No,300.0,74.99998125000468,0.0,0.0,4.0,0.0,0.0,74.99998125000468,0.0,0.0,0.0,0.0
PRV51100,78000.0,15600.0,33000.0,5340.0,1068.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,78000.0,15599.996880000623,5340.0,1067.9997864000427,5.0,1.0,0.199999960000008,15599.996880000623,78000000000.0,2.1153846152490137,0.0,78000.0
PRV51101,16600.0,5533.333333333333,13000.0,3204.0,1068.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,16600.0,5533.331488889504,3204.0,1067.9996440001187,3.0,0.0,0.0,5533.331488889504,16600000000.0,2.349397589936856,0.0,0.0
PRV51102,148000.0,12333.333333333334,47000.0,12816.0,1068.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,148000.0,13454.54423140507,12816.0,1165.0908031735635,11.0,0.0,0.0,13454.54423140507,148000000000.0,3.8108108105018257,0.0,0.0
PRV51103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,73.33333333333333,200.0,60.0,10.0,4.0,0.0,Yes,440.0,109.99997250000688,60.0,14.999996250000937,4.0,0.0,0.0,109.99997250000688,0.0,0.0,0.0,0.0
PRV51104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,158.33333333333334,700.0,110.0,9.166666666666666,9.0,0.0,No,1900.0,211.1110876543236,110.0,12.222220864197682,9.0,0.0,0.0,211.1110876543236,0.0,0.0,0.0,0.0
PRV51105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6540.0,545.0,1800.0,0.0,0.0,12.0,0.0,No,6540.0,544.9999545833372,0.0,0.0,12.0,0.0,0.0,544.9999545833372,0.0,0.0,0.0,0.0
PRV51108,156000.0,8210.526315789473,22000.0,19224.0,1011.7894736842105,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,156000.0,8210.525883656532,19224.0,1011.7894204321357,19.0,0.0,0.0,8210.525883656532,156000000000.0,2.679487179160832,0.0,0.0
PRV51109,18000.0,6000.0,8000.0,3204.0,1068.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,18000.0,5999.998000000666,3204.0,1067.9996440001187,3.0,0.0,0.0,5999.998000000666,18000000000.0,1.333333333111111,0.0,0.0
PRV51110,27000.0,5400.0,9000.0,5340.0,1068.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,27000.0,5399.998920000216,5340.0,1067.9997864000427,5.0,0.0,0.0,5399.998920000216,27000000000.0,1.6666666663580245,0.0,0.0
PRV51111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54860.0,415.6060606060606,7010.0,200.0,1.5151515151515151,85.0,0.0,No,54860.0,645.4117571128029,200.0,2.352941148788928,85.0,0.0,0.0,645.4117571128029,0.0,0.0,0.0,0.0
PRV51112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105250.0,346.2171052631579,4100.0,810.0,2.664473684210526,195.0,10.0,No,105250.0,539.7435869756739,810.0,4.153846132544379,195.0,10.0,0.0512820510190664,539.7435869756739,0.0,0.0,0.0,10525.0
PRV51113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46390.0,351.43939393939394,3300.0,550.0,4.166666666666667,78.0,6.0,No,46390.0,594.7435821186721,550.0,7.051281960881001,78.0,6.0,0.07692307593688365,594.7435821186721,0.0,0.0,0.0,7731.666666666667
PRV51114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76720.0,292.82442748091603,8200.0,560.0,2.1374045801526718,160.0,6.0,No,76720.0,479.49999700312503,560.0,3.4999999781250004,160.0,6.0,0.037499999765625,479.49999700312503,0.0,0.0,0.0,12786.666666666666
PRV51115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,140.0,600.0,20.0,2.857142857142857,6.0,0.0,No,980.0,163.33330611111563,20.0,3.33333277777787,6.0,0.0,0.0,163.33330611111563,0.0,0.0,0.0,0.0
PRV51117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,162.5,1400.0,0.0,0.0,10.0,0.0,No,1950.0,194.99998050000195,0.0,0.0,10.0,0.0,0.0,194.99998050000195,0.0,0.0,0.0,0.0
PRV51118,136000.0,8500.0,22000.0,14952.0,934.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,136000.0,8499.999468750033,14952.0,934.4999415937536,16.0,0.0,0.0,8499.999468750033,136000000000.0,2.5882352938131485,0.0,0.0
PRV51119,985000.0,10478.72340425532,118000.0,96120.0,1022.5531914893617,81.0,1.0,95580.0,95580.0,95580.0,865.0,865.0,1.0,0.0,Yes,1080580.0,13177.804717343844,96985.0,1182.7438880153184,82.0,1.0,0.012195121802498515,13177.804717343844,10.30550324324853,11.260913704509111,0.0,1080580.0
PRV51120,52000.0,7428.571428571428,15000.0,7476.0,1068.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,52000.0,7428.57036734709,7476.0,1067.9998474285933,7.0,0.0,0.0,7428.57036734709,52000000000.0,2.0192307689589497,0.0,0.0
PRV51121,81000.0,13500.0,45000.0,6408.0,1068.0,6.0,1.0,80.0,80.0,80.0,0.0,0.0,1.0,0.0,No,81080.0,11582.855488163501,6408.0,915.4284406530799,7.0,1.0,0.1428571224489825,11582.855488163501,1012.4999873437501,3.33333333308642,0.0,81080.0
PRV51122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,160.0,500.0,0.0,0.0,7.0,0.0,No,1120.0,159.99997714286042,0.0,0.0,7.0,0.0,0.0,159.99997714286042,0.0,0.0,0.0,0.0
